"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","","1.0"
"2","Bijan Robinson","ATL","5","RB1","2","3","5","2","","2.8"
"3","Saquon Barkley","PHI","9","RB2","3","2","2","4","","2.8"
"4","Jahmyr Gibbs","DET","8","RB3","5","5","6","3","","4.6"
"5","Justin Jefferson","MIN","6","WR2","4","4","4","6","","4.6"
"6","CeeDee Lamb","DAL","10","WR3","6","7","3","5","","5.4"
"7","Amon-Ra St. Brown","DET","8","WR4","8","6","9","11","","9.0"
"8","Christian McCaffrey","SF","14","RB4","7","14","12","7","","9.4"
"9","Puka Nacua","LAR","8","WR5","9","8","7","10","","9.4"
"10","Malik Nabers","NYG","14","WR6","11","9","10","9","","9.6"
"11","Derrick Henry","BAL","7","RB5","13","10","8","13","","10.4"
"12","Ashton Jeanty","LV","8","RB6","10","11","11","8","","10.4"
"13","De'Von Achane","MIA","12","RB7","12","15","13","12","","12.4"
"14","Nico Collins","HOU","6","WR7","14","12","16","16","","14.4"
"15","Brian Thomas Jr.","JAC","8","WR8","16","13","14","15","","14.6"
"16","Josh Jacobs","GB","5","RB8","18","21","17","14","","17.2"
"17","A.J. Brown","PHI","9","WR9","15","18","15","23","","17.6"
"18","Brock Bowers","LV","8","TE1","20","16","18","19","","18.6"
"19","Drake London","ATL","5","WR10","22","17","20","21","","19.8"
"20","Jonathan Taylor","IND","11","RB9","17","24","22","20","","20.2"
"21","Bucky Irving","TB","9","RB10","23","19","25","17","","21.8"
"22","Lamar Jackson","BAL","7","QB1","21","23","19","26","","22.2"
"23","Josh Allen","BUF","7","QB2","19","20","21","28","","22.8"
"24","Kyren Williams","LAR","8","RB11","26","28","24","22","","24.2"
"25","Ladd McConkey","LAC","12","WR11","30","22","23","27","","25.2"
"26","Trey McBride","ARI","8","TE2","24","25","26","29","","26.6"
"27","Chase Brown","CIN","10","RB12","33","29","34","18","","27.4"
"28","Tyreek Hill","MIA","12","WR12","28","27","36","25","","28.6"
"29","Jayden Daniels","WAS","12","QB3","25","31","27","33","","30.8"
"30","Tee Higgins","CIN","10","WR13","27","30","31","38","","30.8"
"31","James Cook","BUF","7","RB13","32","35","29","30","","31.2"
"32","Breece Hall","NYJ","9","RB14","49","33","30","24","","33.6"
"33","Jaxon Smith-Njigba","SEA","8","WR14","36","26","39","34","","34.0"
"34","Joe Burrow","CIN","10","QB4","31","40","35","40","","35.4"
"35","Garrett Wilson","NYJ","9","WR15","39","32","37","36","","36.2"
"36","Jalen Hurts","PHI","9","QB5","29","39","33","45","","37.8"
"37","Davante Adams","LAR","8","WR16","35","42","42","37","","38.0"
"38","Alvin Kamara","NO","11","RB15","37","41","46","31","","38.2"
"39","George Kittle","SF","14","TE3","34","38","38","42","","38.2"
"40","Terry McLaurin","WAS","12","WR17","40","34","28","44","","38.4"
"41","Kenneth Walker III","SEA","8","RB16","38","45","41","35","","38.4"
"42","Mike Evans","TB","9","WR18","42","37","32","50","","40.2"
"43","Marvin Harrison Jr.","ARI","8","WR19","45","36","43","41","","41.2"
"44","Omarion Hampton","LAC","12","RB17","48","44","50","32","","43.2"
"45","Chuba Hubbard","CAR","14","RB18","44","46","52","39","","45.2"
"46","James Conner","ARI","8","RB19","47","52","49","46","","47.6"
"47","DJ Moore","CHI","5","WR20","53","47","48","47","","48.6"
"48","Rashee Rice","KC","10","WR21","58","43","40","55","","49.0"
"49","DK Metcalf","PIT","5","WR22","43","48","58","52","","49.6"
"50","Sam LaPorta","DET","8","TE4","41","49","44","63","","51.4"
"51","Joe Mixon","HOU","6","RB20","51","51","47","60","","52.2"
"52","Courtland Sutton","DEN","12","WR23","59","50","55","51","","53.6"
"53","Patrick Mahomes II","KC","10","QB6","46","57","45","64","","53.8"
"54","D'Andre Swift","CHI","5","RB21","56","74","60","43","","56.8"
"55","DeVonta Smith","PHI","9","WR24","62","53","54","57","","56.8"
"56","Xavier Worthy","KC","10","WR25","50","56","66","66","","57.6"
"57","David Montgomery","DET","8","RB22","61","55","64","58","","59.4"
"58","Jameson Williams","DET","8","WR26","65","59","53","67","","61.6"
"59","TreVeyon Henderson","NE","14","RB23","73","65","67","48","","61.8"
"60","Zay Flowers","BAL","7","WR27","54","54","69","69","","61.8"
"61","T.J. Hockenson","MIN","6","TE5","55","58","51","73","","62.4"
"62","Travis Kelce","KC","10","TE6","57","66","57","65","","62.6"
"63","RJ Harvey","DEN","12","RB24","79","61","71","49","","63.0"
"64","Travis Hunter","JAC","8","WR28","60","62","59","72","","63.8"
"65","Aaron Jones Sr.","MIN","6","RB25","66","70","74","56","","64.0"
"66","Baker Mayfield","TB","9","QB7","52","68","61","76","","65.6"
"67","George Pickens","DAL","10","WR29","64","60","76","70","","66.2"
"68","Isiah Pacheco","KC","10","RB26","74","64","62","61","","66.8"
"69","Tetairoa McMillan","CAR","14","WR30","75","63","78","54","","67.0"
"70","Calvin Ridley","TEN","10","WR31","63","75","72","62","","68.8"
"71","Kaleb Johnson","PIT","5","RB27","72","81","80","53","","69.6"
"72","Tony Pollard","TEN","10","RB28","87","77","82","59","","74.4"
"73","Jaylen Waddle","MIA","12","WR32","67","67","86","78","","74.8"
"74","Mark Andrews","BAL","7","TE7","70","79","56","94","","75.4"
"75","Bo Nix","DEN","12","QB8","68","76","65","90","","75.8"
"76","Jerry Jeudy","CLE","9","WR33","69","73","101","68","","76.0"
"77","Chris Godwin","TB","9","WR34","90","78","84","77","","79.8"
"78","Chris Olave","NO","11","WR35","88","69","87","74","","80.2"
"79","Brian Robinson Jr.","WAS","12","RB29","92","83","92","75","","83.2"
"80","Jordan Addison","MIN","6","WR36","91","71","90","84","","83.4"
"81","Rome Odunze","CHI","5","WR37","76","80","93","88","","84.8"
"82","Kyler Murray","ARI","8","QB9","77","97","81","97","","87.2"
"83","Evan Engram","DEN","12","TE8","80","88","75","89","","87.6"
"84","Cooper Kupp","SEA","8","WR38","78","87","105","83","","88.2"
"85","Deebo Samuel Sr.","WAS","12","WR39","99","86","98","80","","88.4"
"86","David Njoku","CLE","9","TE9","71","94","85","111","","88.6"
"87","Stefon Diggs","NE","14","WR40","85","91","95","87","","89.4"
"88","Tyrone Tracy Jr.","NYG","14","RB30","97","85","106","71","","91.2"
"89","Jaylen Warren","PIT","5","RB31","102","92","109","79","","93.4"
"90","Jakobi Meyers","LV","8","WR41","86","82","124","100","","93.8"
"91","Cam Skattebo","NYG","14","RB32","98","100","97","82","","94.0"
"92","Quinshon Judkins","CLE","9","RB33","140","72","89","85","","94.4"
"93","Khalil Shakir","BUF","7","WR42","104","84","100","99","","97.0"
"94","Jauan Jennings","SF","14","WR43","110","95","108","91","","99.8"
"95","Travis Etienne Jr.","JAC","8","RB34","122","93","114","81","","100.0"
"96","Matthew Golden","GB","5","WR44","89","98","125","93","","101.2"
"97","Javonte Williams","DAL","10","RB35","94","106","141","86","","103.8"
"98","Jared Goff","DET","8","QB10","113","90","99","113","","104.8"
"99","Ricky Pearsall","SF","14","WR45","112","101","118","102","","105.4"
"100","Brandon Aubrey","DAL","10","K1","96","128","70","125","","105.8"
"101","Brock Purdy","SF","14","QB11","82","109","104","124","","106.2"
"102","Dak Prescott","DAL","10","QB12","100","120","120","106","","107.4"
"103","Justin Fields","NYJ","9","QB13","115","136","63","122","","108.8"
"104","Jayden Reed","GB","5","WR46","118","99","123","110","","110.0"
"105","Rhamondre Stevenson","NE","14","RB36","106","114","122","104","","110.2"
"106","Tyler Warren","IND","11","TE10","124","96","107","114","","113.0"
"107","Najee Harris","LAC","12","RB37","155","105","113","105","","114.8"
"108","Denver Broncos","DST","12","DST1","84","153","83","137","","115.0"
"109","Caleb Williams","CHI","5","QB14","121","119","111","103","","115.2"
"110","Jonnu Smith","PIT","5","TE11","167","89","73","134","","115.6"
"111","Colston Loveland","CHI","5","TE12","116","107","116","108","","115.6"
"112","Tucker Kraft","GB","5","TE13","101","117","117","117","","116.2"
"113","Justin Herbert","LAC","12","QB15","95","104","126","129","","116.4"
"114","J.K. Dobbins","DEN","12","RB38","105","123","162","96","","117.6"
"115","Jordan Mason","MIN","6","RB39","139","110","145","92","","117.8"
"116","Philadelphia Eagles","DST","9","DST2","117","129","94","149","","119.2"
"117","Cameron Dicker","LAC","12","K2","111","133","79","148","","121.8"
"118","Zach Charbonnet","SEA","8","RB40","150","111","156","95","","122.2"
"119","Brandon Aiyuk","SF","14","WR47","162","103","119","123","","122.2"
"120","Emeka Egbuka","TB","9","WR48","120","108","157","112","","122.8"
"121","Keon Coleman","BUF","7","WR49","109","118","144","135","","125.2"
"122","Josh Downs","IND","11","WR50","158","102","136","119","","125.8"
"123","Michael Pittman Jr.","IND","11","WR51","119","116","176","116","","128.0"
"124","Pittsburgh Steelers","DST","5","DST3","83","131","129","157","","129.0"
"125","Darnell Mooney","ATL","5","WR52","127","112","169","131","","130.0"
"126","Rachaad White","TB","9","RB41","141","137","137","118","","131.2"
"127","Jake Bates","DET","8","K3","93","130","102","161","","131.6"
"128","Tyjae Spears","TEN","10","RB42","136","124","174","98","","131.6"
"129","Dalton Kincaid","BUF","7","TE14","128","113","128","145","","132.0"
"130","Jordan Love","GB","5","QB16","123","125","134","152","","133.4"
"131","Jake Ferguson","DAL","10","TE15","131","121","154","130","","135.6"
"132","Baltimore Ravens","DST","7","DST4","108","152","121","168","","135.8"
"133","Dallas Goedert","PHI","9","TE16","114","127","130","162","","136.0"
"134","Austin Ekeler","WAS","12","RB43","125","151","166","121","","136.4"
"135","C.J. Stroud","HOU","6","QB17","144","122","133","146","","139.8"
"136","Tank Bigsby","JAC","8","RB44","134","142","208","101","","140.2"
"137","Jaydon Blue","DAL","10","RB45","189","135","150","109","","141.6"
"138","Kyle Pitts Sr.","ATL","5","TE17","138","126","139","140","","141.6"
"139","Buffalo Bills","DST","7","DST5","148","180","96","151","","143.6"
"140","Houston Texans","DST","6","DST6","81","161","142","158","","144.2"
"141","Jayden Higgins","HOU","6","WR53","129","115","205","128","","145.8"
"142","Tre' Harris","LAC","12","WR54","163","132","159","138","","146.2"
"143","J.J. McCarthy","MIN","6","QB18","132","141","152","141","","147.8"
"144","Chase McLaughlin","TB","9","K4","103","155","112","180","","148.0"
"145","Drake Maye","NE","14","QB19","152","140","146","142","","148.4"
"146","Minnesota Vikings","DST","6","DST7","107","158","147","173","","149.2"
"147","Isaac Guerendo","SF","14","RB46","185","146","175","120","","149.4"
"148","Nick Chubb","HOU","6","RB47","165","143","189","115","","151.2"
"149","Rashid Shaheed","NO","11","WR55","126","134","181","170","","152.2"
"150","Zach Ertz","WAS","12","TE18","160","150","165","169","","155.8"
"151","Marvin Mims Jr.","DEN","12","WR56","153","138","171","136","","156.2"
"152","Chris Boswell","PIT","5","K5","135","156","68","207","","157.2"
"153","Ka'imi Fairbairn","HOU","6","K6","172","162","91","166","","160.8"
"154","Bhayshul Tuten","JAC","8","RB48","237","147","155","133","","161.2"
"155","Trey Benson","ARI","8","RB49","157","166","228","126","","161.8"
"156","Luther Burden III","CHI","5","WR57","169","139","212","159","","163.0"
"157","Tyler Allgeier","ATL","5","RB50","170","176","172","144","","164.2"
"158","Jerome Ford","CLE","9","RB51","143","178","245","107","","164.4"
"159","Jack Bech","LV","8","WR58","142","165","220","147","","165.4"
"160","Marquise Brown","KC","10","WR59","176","173","115","160","","166.2"
"161","Jake Elliott","PHI","9","K7","137","163","131","229","","167.0"
"162","Isaiah Likely","BAL","7","TE19","192","148","151","172","","168.0"
"163","Christian Kirk","HOU","6","WR60","242","145","170","164","","169.6"
"164","Harrison Butker","KC","10","K8","147","159","143","200","","169.8"
"165","Trevor Lawrence","JAC","8","QB20","180","169","185","155","","169.8"
"166","Hunter Henry","NE","14","TE20","159","168","173","156","","170.4"
"167","San Francisco 49ers","DST","14","DST8","177","157","77","228","","170.6"
"168","Tua Tagovailoa","MIA","12","QB21","164","198","192","154","","171.8"
"169","Ray Davis","BUF","7","RB52","222","167","218","127","","174.8"
"170","Rashod Bateman","BAL","7","WR61","187","164","184","187","","175.6"
"171","Detroit Lions","DST","8","DST9","130","181","148","218","","176.2"
"172","Cameron Ward","TEN","10","QB22","161","149","161","233","","178.0"
"173","Tyler Bass","BUF","7","K9","149","160","140","239","","178.6"
"174","Dylan Sampson","CLE","9","RB53","154","172","260","139","","178.8"
"175","Michael Penix Jr.","ATL","5","QB23","181","170","186","191","","181.6"
"176","Kansas City Chiefs","DST","10","DST10","178","185","135","199","","181.8"
"177","Xavier Legette","CAR","14","WR62","156","179","204","178","","181.8"
"178","Adam Thielen","CAR","14","WR63","151","171","207","203","","182.6"
"179","Matthew Stafford","LAR","8","QB24","166","192","160","212","","184.2"
"180","Braelon Allen","NYJ","9","RB54","202","193","232","132","","185.0"
"181","Kyle Williams","NE","14","WR64","193","144","214","186","","187.0"
"182","Jason Sanders","MIA","12","K10","145","268","110","231","","189.6"
"183","Jaylen Wright","MIA","12","RB55","214","197","231","150","","189.8"
"184","Wil Lutz","DEN","12","K11","205","225","132","179","","192.4"
"185","Dallas Cowboys","DST","10","DST11","188","266","158","209","","195.8"
"186","Kareem Hunt","KC","10","RB56","213","204","200","167","","196.6"
"187","Washington Commanders","DST","12","DST12","206","154","164","247","","197.8"
"188","Younghoe Koo","ATL","5","K12","190","182","168","256","","197.8"
"189","Brenton Strange","JAC","8","TE21","233","175","248","174","","198.6"
"190","Jalen McMillan","TB","9","WR65","225","177","213","171","","199.4"
"191","Quentin Johnston","LAC","12","WR66","195","199","255","213","","199.8"
"192","Pat Freiermuth","PIT","5","TE22","198","196","177","223","","200.8"
"193","Green Bay Packers","DST","5","DST13","186","226","193","240","","202.6"
"194","Evan McPherson","CIN","10","K13","184","187","187","251","","203.4"
"195","Darren Waller","MIA","12","TE23","201","227","178","210","","203.6"
"196","Cedric Tillman","CLE","9","WR67","179","188","314","184","","207.2"
"197","New York Jets","DST","9","DST14","175","228","206","249","","208.0"
"198","Anthony Richardson Sr.","IND","11","QB25","207","213","217","208","","209.2"
"199","Geno Smith","LV","8","QB26","210","211","197","230","","213.0"
"200","Wan'Dale Robinson","NYG","14","WR68","235","194","261","185","","214.4"
"201","Romeo Doubs","GB","5","WR69","236","209","224","197","","214.4"
"202","Los Angeles Chargers","DST","12","DST15","212","267","153","244","","217.0"
"203","Justice Hill","BAL","7","RB57","259","214","230","163","","217.8"
"204","Roschon Johnson","CHI","5","RB58","302","203","271","177","","218.8"
"205","Seattle Seahawks","DST","8","DST16","133","186","180","","","170.8"
"206","Rico Dowdle","CAR","14","RB59","","174","209","143","","178.3"
"207","Chicago Bears","DST","5","DST17","204","","88","220","","184.3"
"208","DeAndre Hopkins","BAL","7","WR70","208","201","183","153","","186.3"
"209","Bryce Young","CAR","14","QB27","183","190","188","192","","188.3"
"210","Matt Gay","WAS","12","K14","173","","179","242","","191.0"
"211","Tampa Bay Buccaneers","DST","9","DST18","191","184","138","261","","193.5"
"212","Tyler Loop","BAL","7","K15","171","183","211","245","","202.5"
"213","New England Patriots","DST","14","DST19","146","230","190","250","","204.0"
"214","Cade Otton","TB","9","TE24","223","206","198","189","","204.0"
"215","Arizona Cardinals","DST","8","DST20","196","","149","252","","204.8"
"216","Mike Gesicki","CIN","10","TE25","199","191","249","182","","205.3"
"217","Aaron Rodgers","PIT","5","QB28","194","207","194","227","","205.5"
"218","DeMario Douglas","NE","14","WR71","","205","287","183","","207.5"
"219","Sam Darnold","SEA","8","QB29","209","212","199","211","","207.8"
"220","New York Giants","DST","14","DST21","182","229","191","235","","209.3"
"221","Zack Moss","","","RB60","","294","201","195","","209.5"
"222","Chig Okonkwo","TEN","10","TE26","197","216","235","196","","211.0"
"223","Brandon McManus","GB","5","K16","203","","202","236","","211.0"
"224","Los Angeles Rams","DST","8","DST22","211","232","195","219","","214.3"
"225","Blake Corum","LAR","8","RB61","","210","239","202","","219.5"
"226","Joshua Palmer","BUF","7","WR72","","200","241","221","","220.3"
"227","Raheem Mostert","LV","8","RB62","","242","233","222","","221.5"
"228","Elijah Arroyo","SEA","8","TE27","227","202","262","201","","223.0"
"229","MarShawn Lloyd","GB","5","RB63","","243","279","190","","224.3"
"230","Daniel Carlson","LV","8","K17","217","264","163","255","","224.8"
"231","Dalton Schultz","HOU","6","TE28","228","219","222","248","","229.3"
"232","Will Shipley","PHI","9","RB64","","220","317","205","","229.5"
"233","Jacory Croskey-Merritt","WAS","12","RB65","349","234","395","225","","283.8"
"234","DJ Giddens","IND","11","RB66","","222","306","198","","230.3"
"235","Mason Taylor","NYJ","9","TE29","285","195","251","193","","231.0"
"236","Will Reichard","MIN","6","K18","216","265","196","258","","233.8"
"237","Jake Moody","SF","14","K19","219","263","203","263","","237.0"
"238","Elijah Mitchell","KC","10","RB67","","280","267","194","","239.0"
"239","Taysom Hill","NO","11","TE30","257","301","264","","","246.5"
"240","Keenan Allen","LAC","12","WR73","240","215","364","188","","251.8"
"241","Jarquez Hunter","LAR","8","RB68","","217","455","176","","255.5"
"242","Isaac TeSlaa","DET","8","WR74","252","273","246","253","","256.0"
"243","Woody Marks","HOU","6","RB69","","246","453","181","","261.8"
"244","Cincinnati Bengals","DST","10","DST23","221","","103","257","","193.7"
"245","Pat Bryant","DEN","12","WR75","","208","393","254","","270.3"
"246","Kendre Miller","NO","11","RB70","","285","383","243","","274.8"
"247","Cleveland Browns","DST","9","DST24","218","","127","260","","201.7"
"248","Shedeur Sanders","CLE","9","QB30","200","235","219","","","218.0"
"249","Miles Sanders","DAL","10","RB71","","236","252","175","","221.0"
"250","Indianapolis Colts","DST","11","DST25","168","276","223","","","222.3"
"251","Tyler Lockett","TEN","10","WR76","230","221","234","","","228.3"
"252","Dont'e Thornton Jr.","LV","8","WR77","","189","265","238","","230.7"
"253","Alec Pierce","IND","11","WR78","","218","242","234","","231.3"
"254","Joshua Karty","LAR","8","K20","226","","210","259","","231.7"
"255","Tahj Brooks","CIN","10","RB72","306","244","450","204","","301.0"
"256","Calvin Austin III","PIT","5","WR79","","233","253","","","236.7"
"257","Jaxson Dart","NYG","14","QB31","220","241","256","","","239.0"
"258","Jalen Royals","KC","10","WR80","298","238","454","226","","304.0"
"259","Cole Kmet","CHI","5","TE31","239","258","225","","","240.7"
"260","Las Vegas Raiders","DST","8","DST26","232","270","221","","","241.0"
"261","Russell Wilson","NYG","14","QB32","243","251","229","","","241.0"
"262","Miami Dolphins","DST","12","DST27","255","269","215","","","246.3"
"263","Kyle Monangai","CHI","5","RB73","","248","333","165","","248.7"
"264","New Orleans Saints","DST","11","DST28","238","271","240","","","249.7"
"265","Jacksonville Jaguars","DST","8","DST29","231","278","244","","","251.0"
"266","Tennessee Titans","DST","10","DST30","264","231","266","","","253.7"
"267","Trevor Etienne","CAR","14","RB74","","295","259","215","","256.3"
"268","Andrei Iosivas","CIN","10","WR81","","275","283","217","","258.3"
"269","Justin Tucker","","","K21","215","272","293","","","260.0"
"270","Brashard Smith","KC","10","RB75","","223","363","206","","264.0"
"271","Jalen Milroe","SEA","8","QB33","244","277","275","","","265.3"
"272","Noah Gray","KC","10","TE32","271","283","247","","","267.0"
"273","Tyler Higbee","LAR","8","TE33","260","289","258","","","269.0"
"274","Ja'Tavion Sanders","CAR","14","TE34","288","249","274","","","270.3"
"275","Ollie Gordon II","MIA","12","RB76","","262","323","237","","274.0"
"276","Dontayvion Wicks","GB","5","WR82","284","261","284","","","276.3"
"277","Terrance Ferguson","LAR","8","TE35","289","239","307","","","278.3"
"278","Dyami Brown","JAC","8","WR83","","247","355","241","","281.0"
"279","Jaylin Noel","HOU","6","WR84","","237","362","246","","281.7"
"280","Cairo Santos","CHI","5","K22","174","","226","","","200.0"
"281","Joe Flacco","CLE","9","QB34","330","281","292","","","301.0"
"282","A.J. Dillon","PHI","9","RB77","392","","295","224","","303.7"
"283","Jason Myers","SEA","8","K23","234","","182","","","208.0"
"284","Devin Neal","NO","11","RB78","","224","527","216","","322.3"
"285","Atlanta Falcons","DST","5","DST31","229","","216","","","222.5"
"286","Jaleel McLaughlin","DEN","12","RB79","","300","167","","","233.5"
"287","Roman Wilson","PIT","5","WR85","318","259","391","","","322.7"
"288","Cam Little","JAC","8","K24","254","","227","","","240.5"
"289","Samaje Perine","CIN","10","RB80","","","308","","","243.0"
"290","Troy Franklin","DEN","12","WR86","303","296","388","","","329.0"
"291","Audric Estime","DEN","12","RB81","354","305","331","","","330.0"
"292","Blake Grupe","NO","11","K25","256","","236","","","246.0"
"293","Carolina Panthers","DST","14","DST32","224","","269","","","246.5"
"294","Tank Dell","HOU","6","WR87","251","","243","","","247.0"
"295","Noah Fant","CIN","10","TE36","445","302","250","","","332.3"
"296","Dawson Knox","BUF","7","TE37","245","","254","","","249.5"
"297","KaVontae Turpin","DAL","10","WR88","270","","237","","","253.5"
"298","Kayshon Boutte","NE","14","WR89","329","298","382","","","336.3"
"299","Xavier Restrepo","TEN","10","WR90","340","279","394","","","337.7"
"300","Andy Borregales","NE","14","K26","247","","268","","","257.5"
"301","Graham Gano","NYG","14","K27","241","","276","","","258.5"
"302","Theo Johnson","NYG","14","TE38","452","252","322","","","342.0"
"303","Kirk Cousins","ATL","5","QB35","268","","263","","","265.5"
"304","Sean Tucker","TB","9","RB82","","","321","214","","267.5"
"305","Dustin Hopkins","CLE","9","K28","249","","286","","","267.5"
"306","Jimmy Horn Jr.","CAR","14","WR91","248","","288","","","268.0"
"307","Juwan Johnson","NO","11","TE39","","256","281","","","268.5"
"308","Elic Ayomanor","TEN","10","WR92","","240","305","","","272.5"
"309","Jahan Dotson","PHI","9","WR93","253","","298","","","275.5"
"310","Antonio Gibson","NE","14","RB83","","","320","232","","276.0"
"311","JuJu Smith-Schuster","KC","10","WR94","275","","277","","","276.0"
"312","Joey Slye","TEN","10","K29","267","","290","","","278.5"
"313","AJ Barner","SEA","8","TE40","283","","280","","","281.5"
"314","Chad Ryland","ARI","8","K30","292","","272","","","282.0"
"315","Tory Horton","SEA","8","WR95","351","291","423","","","355.0"
"316","Diontae Johnson","CLE","9","WR96","","290","278","","","284.0"
"317","Tyler Conklin","LAC","12","TE41","","299","270","","","284.5"
"318","Darius Slayton","NYG","14","WR97","","254","319","","","286.5"
"319","Tim Patrick","DET","8","WR98","279","","294","","","286.5"
"320","Luke McCaffrey","WAS","12","WR99","276","","299","","","287.5"
"321","Luke Musgrave","GB","5","TE42","263","","315","","","289.0"
"322","Tyler Shough","NO","11","QB36","","255","324","","","289.5"
"323","Ray-Ray McCloud III","ATL","5","WR100","","","318","262","","290.0"
"324","Michael Wilson","ARI","8","WR101","","253","330","","","291.5"
"325","Parker Romo","NE","14","K31","277","","313","","","295.0"
"326","Jalen Coker","CAR","14","WR102","","245","348","","","296.5"
"327","Tutu Atwell","LAR","8","WR103","","297","296","","","296.5"
"328","Michael Mayer","LV","8","TE43","","303","291","","","297.0"
"329","Grant Calcaterra","PHI","9","TE44","291","","303","","","297.0"
"330","Marquez Valdes-Scantling","SEA","8","WR104","","292","302","","","297.0"
"331","Jordan James","SF","14","RB84","","257","339","","","298.0"
"332","Will Howard","PIT","5","QB37","274","","325","","","299.5"
"333","Christian Watson","GB","5","WR105","","287","312","","","299.5"
"334","Hunter Renfrow","CAR","14","WR106","250","","352","","","301.0"
"335","Joe Milton III","DAL","10","QB38","287","","316","","","301.5"
